condition,well,field,fg_pixels,total_pixels,fg_fraction,fg_area_um2
NTC,R02C03,1,474426,1166400,0.40674382716049384,678626.541216
NTC,R02C03,2,471602,1166400,0.4043227023319616,674587.046432
NTC,R02C03,3,483684,1166400,0.41468106995884774,691869.332544
NTC,R02C03,4,470449,1166400,0.40333419067215365,672937.776784
NTC,R02C03,5,484062,1166400,0.4150051440329218,692410.029792
NTC,R02C03,6,464070,1166400,0.3978652263374486,663813.1531199999
NTC,R02C03,7,475605,1166400,0.4077546296296296,680313.00168
NTC,R02C03,8,485275,1166400,0.4160450960219479,694145.1244
NTC,R02C03,9,492684,1166400,0.42239711934156376,704743.076544
NTC,R03C03,1,472284,1166400,0.4049074074074074,675562.5901439999
NTC,R03C03,2,472075,1166400,0.4047282235939643,675263.6331999999
NTC,R03C03,3,472877,1166400,0.4054158093278464,676410.8268319999
NTC,R03C03,4,454533,1166400,0.3896887860082304,650171.275728
NTC,R03C03,5,477315,1166400,0.40922067901234566,682759.01304
NTC,R03C03,6,483123,1166400,0.41420010288065845,691066.869168
NTC,R03C03,7,482853,1166400,0.41396862139917695,690680.656848
NTC,R03C03,8,482571,1166400,0.4137268518518519,690277.279536
NTC,R03C03,9,462709,1166400,0.39669838820301784,661866.356944
NTC,R04C03,1,471194,1166400,0.40397290809327846,674003.436704
NTC,R04C03,2,502983,1166400,0.43122685185185183,719474.9309279999
NTC,R04C03,3,491780,1166400,0.42162208504801096,703449.9804799999
NTC,R04C03,4,467918,1166400,0.40116426611796985,669317.3938879999
NTC,R04C03,5,477172,1166400,0.40909807956104255,682554.463552
NTC,R04C03,6,496865,1166400,0.42598165294924556,710723.64584
NTC,R04C03,7,495741,1166400,0.42501800411522633,709115.858256
NTC,R04C03,8,485027,1166400,0.415832475994513,693790.381232
NTC,R04C03,9,485228,1166400,0.4160048010973937,694077.8948479999
NTC,R05C03,1,485423,1166400,0.4161719821673525,694356.825968
NTC,R05C03,2,490751,1166400,0.4207398834019204,701978.082416
NTC,R05C03,3,493663,1166400,0.42323645404663923,706143.453808
NTC,R05C03,4,468095,1166400,0.40131601508916326,669570.5775199999
NTC,R05C03,5,479772,1166400,0.41132716049382717,686273.5451519999
NTC,R05C03,6,501487,1166400,0.42994427297668036,717335.0285919999
NTC,R05C03,7,491221,1166400,0.4211428326474623,702650.377936
NTC,R05C03,8,494581,1166400,0.42402349108367626,707456.5756959999
NTC,R05C03,9,461941,1166400,0.3960399519890261,660767.797456
NTC,R06C03,1,482563,1166400,0.41371999314128943,690265.836208
NTC,R06C03,2,509996,1166400,0.43723936899862825,729506.438336
NTC,R06C03,3,506314,1166400,0.4340826474622771,724239.6466239999
NTC,R06C03,4,481958,1166400,0.41320130315500686,689400.434528
NTC,R06C03,5,480958,1166400,0.41234396433470505,687970.018528
NTC,R06C03,6,496029,1166400,0.42526491769547325,709527.818064
NTC,R06C03,7,493330,1166400,0.42295096021947876,705667.1252799999
NTC,R06C03,8,491456,1166400,0.4213443072702332,702986.525696
NTC,R06C03,9,481164,1166400,0.41252057613168724,688264.684224
NTC,R07C03,1,484565,1166400,0.4154363854595336,693129.5290399999
NTC,R07C03,2,480419,1166400,0.41188185871056243,687199.024304
NTC,R07C03,3,500328,1166400,0.4289506172839506,715677.176448
NTC,R07C03,4,500069,1166400,0.4287285665294925,715306.698704
NTC,R07C03,5,483547,1166400,0.4145636145404664,691673.365552
NTC,R07C03,6,483664,1166400,0.4146639231824417,691840.724224
NTC,R07C03,7,474939,1166400,0.40718364197530865,679360.3446239999
NTC,R07C03,8,474482,1166400,0.4067918381344307,678706.6445119999
NTC,R07C03,9,461385,1166400,0.39556327160493826,659972.48616
CIDEC_KD,R02C10,1,466459,1166400,0.3999134087791495,667230.4169439999
CIDEC_KD,R02C10,2,467865,1166400,0.40111882716049385,669241.58184
CIDEC_KD,R02C10,3,484864,1166400,0.4156927297668038,693557.223424
CIDEC_KD,R02C10,4,460693,1166400,0.39496999314128944,658982.638288
CIDEC_KD,R02C10,5,470240,1166400,0.4031550068587106,672638.81984
CIDEC_KD,R02C10,6,478548,1166400,0.4102777777777778,684522.715968
CIDEC_KD,R02C10,7,486570,1166400,0.4171553497942387,695997.5131199999
CIDEC_KD,R02C10,8,467547,1166400,0.4008461934156379,668786.7095519999
CIDEC_KD,R02C10,9,468235,1166400,0.4014360425240055,669770.8357599999
CIDEC_KD,R03C10,1,455893,1166400,0.3908547668038409,652116.6414879999
CIDEC_KD,R03C10,2,477532,1166400,0.40940672153635116,683069.413312
CIDEC_KD,R03C10,3,475886,1166400,0.4079955418381344,680714.9485759999
CIDEC_KD,R03C10,4,469680,1166400,0.40267489711934157,671837.7868799999
CIDEC_KD,R03C10,5,471287,1166400,0.40405264060356655,674136.4653919999
CIDEC_KD,R03C10,6,467026,1166400,0.4003995198902606,668041.462816
CIDEC_KD,R03C10,7,474877,1166400,0.40713048696844995,679271.658832
CIDEC_KD,R03C10,8,474418,1166400,0.4067369684499314,678615.097888
CIDEC_KD,R03C10,9,472034,1166400,0.40469307270233196,675204.986144
CIDEC_KD,R04C10,1,449565,1166400,0.3854295267489712,643064.96904
CIDEC_KD,R04C10,2,470305,1166400,0.40321073388203016,672731.7968799999
CIDEC_KD,R04C10,3,468209,1166400,0.40141375171467764,669733.6449439999
CIDEC_KD,R04C10,4,466703,1166400,0.40012259945130313,667579.438448
CIDEC_KD,R04C10,5,467895,1166400,0.4011445473251029,669284.4943199999
CIDEC_KD,R04C10,6,475917,1166400,0.4080221193415638,680759.291472
CIDEC_KD,R04C10,7,478405,1166400,0.41015517832647463,684318.16648
CIDEC_KD,R04C10,8,463779,1166400,0.39761574074074074,663396.9020639999
CIDEC_KD,R04C10,9,458891,1166400,0.39342506858710563,656405.0286559999
CIDEC_KD,R05C10,1,476552,1166400,0.4085665294924554,681667.6056319999
CIDEC_KD,R05C10,2,491564,1166400,0.4214368998628258,703141.010624
CIDEC_KD,R05C10,3,488446,1166400,0.41876371742112484,698680.973536
CIDEC_KD,R05C10,4,467246,1166400,0.40058813443072705,668356.154336
CIDEC_KD,R05C10,5,474460,1166400,0.4067729766803841,678675.17536
CIDEC_KD,R05C10,6,485700,1166400,0.41640946502057613,694753.0512
CIDEC_KD,R05C10,7,474846,1166400,0.40710390946502056,679227.315936
CIDEC_KD,R05C10,8,488855,1166400,0.41911436899862825,699266.01368
CIDEC_KD,R05C10,9,469809,1166400,0.4027854938271605,672022.310544
CIDEC_KD,R06C10,1,478658,1166400,0.410372085048011,684680.061728
CIDEC_KD,R06C10,2,501589,1166400,0.43003172153635116,717480.9310239999
CIDEC_KD,R06C10,3,494373,1166400,0.42384516460905347,707159.049168
CIDEC_KD,R06C10,4,490990,1166400,0.42094478737997254,702319.95184
CIDEC_KD,R06C10,5,480529,1166400,0.4119761659807956,687356.3700639999
CIDEC_KD,R06C10,6,496795,1166400,0.4259216392318244,710623.51672
CIDEC_KD,R06C10,7,475560,1166400,0.40771604938271605,680248.63296
CIDEC_KD,R06C10,8,485255,1166400,0.4160279492455418,694116.51608
CIDEC_KD,R06C10,9,483902,1166400,0.4148679698216735,692181.163232
CIDEC_KD,R07C10,1,479361,1166400,0.4109747942386831,685685.6441759999
CIDEC_KD,R07C10,2,486545,1166400,0.41713391632373115,695961.75272
CIDEC_KD,R07C10,3,501816,1166400,0.43022633744855965,717805.635456
CIDEC_KD,R07C10,4,491517,1166400,0.4213966049382716,703073.7810719999
CIDEC_KD,R07C10,5,497931,1166400,0.4268955761316872,712248.469296
CIDEC_KD,R07C10,6,490300,1166400,0.4203532235939643,701332.9648
CIDEC_KD,R07C10,7,498529,1166400,0.42740826474622773,713103.8580639999
CIDEC_KD,R07C10,8,494375,1166400,0.4238468792866941,707161.9099999999
CIDEC_KD,R07C10,9,481794,1166400,0.41306069958847735,689165.846304
