condition,well,n,mean,std,cv,iqr,qcd,skew,kurtosis,p90,p99,frac_small,frac_large,frac_xlarge
CIDEC_KD,R02C10,92547.0,58.953025022615535,89.55165887585272,1.5190341605286404,38.62123199999999,0.4736842105263157,6.022197801073884,47.664022829439816,107.2812,494.26594463999083,0.19766172863517997,0.11334781246285672,0.03923411888013658
CIDEC_KD,R03C10,93966.0,58.29303694527806,90.38572551104723,1.5505406862897848,37.190816,0.46428571428571425,5.889993999796616,45.008804062583366,105.850784,513.5193439999999,0.20987378413468702,0.11112530064065726,0.039993189025817846
CIDEC_KD,R04C10,96117.0,56.89951883991387,84.35151479447211,1.4824644656801775,37.190816,0.46428571428571425,6.052705598388413,49.22601755006766,104.420368,457.73312,0.20545793147934288,0.10873206612774015,0.03666364951049242
CIDEC_KD,R05C10,93415.0,57.84028698226195,92.65692390839853,1.6019444014310285,37.190816,0.48148148148148145,5.644863984735617,41.3291944425301,107.2812,520.671424,0.2387839212117968,0.11199486163892308,0.04402933147781406
CIDEC_KD,R06C10,98288.0,56.43939122790167,93.06930884533645,1.6490133366166824,34.329984,0.4615384615384616,5.862384836570232,44.14178094380317,104.420368,524.962672,0.24979651636008465,0.1067271691356015,0.04174466872863422
CIDEC_KD,R07C10,96286.0,56.733184171655274,90.76996185641251,1.5999447797919035,35.7604,0.4716981132075471,5.775869008717638,43.82418885355887,105.850784,497.784768,0.2452173732422159,0.10934092183702719,0.04260224747107575
NTC,R02C03,92142.0,58.65567184163572,93.31170857822204,1.5908386290443326,38.621232,0.49090909090909096,5.774111281024285,43.41225522298102,108.711616,519.241008,0.22535868550715202,0.11400881248507738,0.04309652492891407
NTC,R03C03,94350.0,57.60111641505034,92.74885507504885,1.6101919693142426,35.7604,0.4716981132075471,5.723722328074005,42.34763853751137,105.850784,526.3930879999999,0.23527291997880234,0.10954954954954955,0.04307366189719131
NTC,R04C03,95234.0,56.719883081588506,93.16478587762124,1.642541923854263,35.7604,0.4716981132075471,5.783649291878134,43.064344395727254,104.420368,517.8105919999999,0.24983724300144905,0.10670558834029863,0.04232732007476322
NTC,R05C03,95972.0,56.69784368307423,92.80142056272123,1.6367716042510598,37.190816,0.5,5.74393645687483,42.60241728219577,105.850784,519.241008,0.25383445171508356,0.1079585712499479,0.04314800150043763
NTC,R06C03,95925.0,56.968939815731034,94.33151182787734,1.655841097499751,35.760400000000004,0.4901960784313726,5.742160999732256,42.31182603433722,105.850784,524.962672,0.2544487881157154,0.10830336200156372,0.043888454521761794
NTC,R07C03,94597.0,56.71283332232522,92.1800309216987,1.625382219890109,35.7604,0.4716981132075471,5.717369202696162,42.20173649097177,104.420368,517.8105919999999,0.24926794718648582,0.10829096060128757,0.04290833747370424
